,id,name,place_type,address,transport,accesible_category,wheelchair_accesibility_level,movement_accesibility_level,eye_accesibility_level,ear_accesibility_level,mental_accesibility_level,link,lat,lon
6,1,"Детский сад п. Карповка, структурное подразделение муниципального бюджетного дошкольного образовательного учреждения ""Новорогачинский детский сад ""Золотой петушок""",детский сад,"Городищенский район, с. Карповка, ул. Новая, д. 4",х,дети,2,2,0,0,0,https://zhit-vmeste.ru/map/,48.70475589999999,43.9774129
7,2,"Детский сад п. Самофаловка, структурное подразделение муниципального бюджетного дошкольного образовательного учреждения ""Городищенский детский сад ""Аленушка""",детский сад,"Городищенский район, п.Самофаловка, ул. Новостроевская, д.16",х,дети,2,2,0,0,0,https://zhit-vmeste.ru/map/,48.9471403,44.2142482
8,3,"Детский сад р.п. Городище,  структурное подразделение  муниципального  бюджетного дошкольного образовательного учреждения ""Городищенский детский сад ""Радуга""",детский сад,"Городищенский район, р.п. Городище, пр. Ленина, 3 а
",х,дети,2,2,0,0,0,https://zhit-vmeste.ru/map/,48.8095279,44.4809592
9,4,Муниципальное казенное дошкольное образовательное учреждение детский сад № 3 г. Дубовки Дубовского муниципального района Волгоградской области,детский сад,"Дубовский район, г. Дубовка, ул.Котовского, д. 13",х,дети,0,0,1,1,0,https://zhit-vmeste.ru/map/,49.041533,44.8146224
10,5,Муниципальное казенное дошкольное образовательное учреждение детский сад № 4 г. Дубовки Дубовского муниципального района Волгоградской области,детский сад,"Дубовский район, г. Дубовка, ул.Республиканская, д. 27",х,дети,1,1,1,1,1,https://zhit-vmeste.ru/map/,49.0532628,44.8265815
11,6,"Муниципальное бюджетное дошкольное образовательное учреждение ""Еланский детский сад № 3 ""Алёнушка"" Еланского муниципального района Волгоградской области",детский сад,"Еланский район, р.п. Елань, ул.Красная, д. 18",х,дети,0,0,1,0,0,https://zhit-vmeste.ru/map/,50.9450882,43.7409257
12,7,"Дошкольное образовательное учреждение муниципальный детский сад № 9 ""Золотой ключик"" города Жирновска Волгоградской области",детский сад,"Жирновский район, г. Жирновск, ул.Ломоносова, д. 3",х,дети,0,0,0,0,0,https://zhit-vmeste.ru/map/,50.9815795,44.771724
13,8,"Муниципальное бюджетное дошкольное образовательное учреждение центр развития ребенка – детский сад ""Тюльпан"" Иловлинского муниципального района Волгоградской области",детский сад,"Иловлинский район, р.п. Иловля, ул.Буденного, д. 8",х,дети,1,0,1,1,0,https://zhit-vmeste.ru/map/,49.3104267,43.9860088
14,9,"Муниципальное бюджетное дошкольное образовательное учреждение Логовский детский сад ""Сказка"" Иловлинского муниципального района Волгоградской области",детский сад,"Иловлинский район, с. Лог, ул. Новая, д. 17 а",х,дети,1,0,1,1,0,https://zhit-vmeste.ru/map/,49.4774391,43.8548862
15,10,Муниципальное бюджетное дошкольное образовательное учреждение Детский сад № 1 городского округа – город Камышин,детский сад,"г. Камышин, ул. Гоголя, д. 31",х,дети,0,0,0,0,0,https://zhit-vmeste.ru/map/,50.0845867,45.40932170000001
16,11,Муниципальное бюджетное дошкольное образовательное учреждение Детский сад № 47 городского округа - город Камышин,детский сад,"г. Камышин, 6 микрорайон, д. 16 а",х,дети,1,1,1,1,1,https://zhit-vmeste.ru/map/,50.0909762,45.4170779
17,12,"Муниципальное казенное дошкольное образовательное учреждение ""Преображенский детский сад № 1 ""Аленушка"" ",детский сад,"Киквидзенский район, ст.Преображенская, ул. Мира, д. 73 в",х,дети,1,1,1,1,1,https://zhit-vmeste.ru/map/,50.7395599,43.0479415
18,13,"Муниципальное автономное дошкольное образовательное учреждение детский сад ""Сказка"" Котельниковского муниципального района Волгоградской области",детский сад,"Котельниковский район, г.Котельниково, ул. Строителей, д. 1",х,     дети,0,0,0,0,0,https://zhit-vmeste.ru/map/,47.6340372,43.1461629
19,14,Муниципальное дошкольное образовательное учреждение – детский сад № 8 г. Котово Волгоградской области,детский сад,"Котовский район, г.Котово, ул.Нефтяников, д. 9",х,дети,1,1,2,2,0,https://zhit-vmeste.ru/map/,50.3187428,44.7988621
20,15,"Структурное подразделение ""Радуга"" МБДОУ ""Детский сад ""Лукоморье"" городского округа город Михайловка Волгоградской области""",детский сад,"г. Михайловка, ул. Коммуны, д. 160 а",х,дети,1,0,1,2,0,https://zhit-vmeste.ru/map/,50.075545,43.2376405
21,16,"Структурное подразделение ""Созвездие"" МБДОУ ""Детский сад ""Лукоморье"" городского округа город Михайловка Волгоградской области""",детский сад,"г. Михайловка, ул. Республиканская, д.46 а",х,дети,0,0,1,2,0,https://zhit-vmeste.ru/map/,50.0656151,43.2263695
22,17,"Муниципальное казенное дошкольное образовательное учреждение Нехаевский детский сад ""Колосок"" Нехаевского муниципального района Волгоградской области",детский сад,"Нехаевский район, ст. Нехаевская, ул.Мира, д. 42",х,дети,0,0,0,0,0,https://zhit-vmeste.ru/map/,50.405938,41.76523299999999
23,18,Муниципальное казенное дошкольное образовательное учреждение Новоаннинский детский сад № 4 Новоаннинского муниципального района Волгоградской области,детский сад,"Новоаннинский район, г.Новоаннинский, ул. Киквидзе, д. 105 ",х,дети,1,1,2,1,1,https://zhit-vmeste.ru/map/,50.5240854,42.6795932
24,19,Муниципальное казенное дошкольное образовательное учреждение Новоаннинский детский сад № 5 Новоаннинского муниципального района Волгоградской области,детский сад,"Новоаннинский район, г. Новоаннинский, ул. Пионерская, д.111д",х,дети,1,1,2,1,1,https://zhit-vmeste.ru/map/,50.5315598,42.6921201
25,20,"Муниципальное казенное дошкольное образовательное учреждение ""Новониколаевский детский сад № 1"" Новониколаевского муниципального района Волгоградской области",детский сад,"Новониколаевский район, р.п.Новониколаевский, ул. Левченко, д. 8",х,дети,1,0,0,0,0,https://zhit-vmeste.ru/map/,50.9777205,42.3615238
26,21,"Муниципальное автономное дошкольное образовательное учреждение ""Новониколаевский детский сад № 3"" Новониколаевского муниципального района Волгоградской области",детский сад,"Новониколаевский район, р.п.Новониколаевский, ул. Сиреневая, д.84",х,дети,0,0,0,0,0,https://zhit-vmeste.ru/map/,50.9649331,42.3444648
27,22,"Муниципальное казенное общеобразовательное учреждение  ""Зензеватская средняя школа"" Ольховского муниципального района Волгоградской области (дошкольные группы)",детский сад," Ольховский район, с. Зензеватка, ул.Октябрьская, д. 2 а",х,дети,1,1,1,1,1,https://zhit-vmeste.ru/map/,49.806529,44.53635999999999
28,23,"Муниципальное казенное дошкольное образовательное учреждение ""Детский сад ""Золотой ключик"" п. Новостройка Палласовского  района Волгоградской области",детский сад,"Палласовский район, п. Новостройка, ул. Весенняя, д. 1",х,дети,2,2,2,2,2,https://zhit-vmeste.ru/map/,50.0253709,46.8813162
29,24,"Муниципальное казенное дошкольное образовательное учреждение ""Руднянский детский сад ""Сказка"" Руднянского муниципального района Волгоградской области",детский сад,"Руднянский район, р.п. Рудня, ул.Пионерская, д. 97",х,дети,1,0,1,1,0,https://zhit-vmeste.ru/map/,50.8079342,44.55615479999999
30,25,"Муниципальное казенное дошкольное образовательное учреждение ""Руднянский детский сад ""Огонек"" Руднянского муниципального района Волгоградской области",детский сад,"Руднянский район, р.п. Рудня, ул.Толстого, д. 72",х,дети,0,1,1,1,0,https://zhit-vmeste.ru/map/,50.7940444,44.5606167
31,26,"Муниципальное казенное образовательное учреждение ""Матышевская средняя общеобразовательная школа"" (дошкольная группа) Руднянского муниципального района Волгоградской области",детский сад,"Руднянский район, с. Матышево, ул.Московская, д. 60",х,дети,1,0,2,2,0,https://zhit-vmeste.ru/map/,50.8253066,44.1979621
32,27,"Муниципальное автономное дошкольное образовательное учреждение ""Светлоярский детский сад № 5"" Светлоярского муниципального района Волгоградской области",детский сад,"Светлоярский район, р.п. Светлый Яр, ул. Мира, д. 3",х,дети ,2,2,2,2,2,https://zhit-vmeste.ru/map/,48.47576830000001,44.779811
33,28,"Муниципальное бюджетное дошкольное образовательное учреждение ""Светлоярский детский сад № 7"" Светлоярского муниципального района Волгоградской области",детский сад,"Светлоярский район, р.п. Светлый Яр, микрорайон № 1, д. 22 а",х,дети ,2,2,2,2,2,https://zhit-vmeste.ru/map/,48.47576830000001,44.779811
34,29,"Муниципальное дошкольное образовательное учреждение ""Детский сад ""Золотой петушок"" 
р.п. Средняя Ахтуба Среднеахтубинского района Волгоградской области
",детский сад,"Среднеахтубинский район, р.п. Средняя Ахтуба, ул. Октябрьская, д.89а",х,дети,1,1,1,1,1,https://zhit-vmeste.ru/map/,48.7166589,44.8621366
35,30,"Муниципальное дошкольное образовательное учреждение ""Детский сад ""Семицветик"" 
г. Краснослободска Среднеахтубинского района Волгоградской области

",детский сад,"Среднеахтубинский район, г. Краснослободск, пер. Дачный-50, 10",х,дети,1,1,1,1,0,https://zhit-vmeste.ru/map/,48.7049743,44.5711686
36,31,"Муниципальное дошкольное образовательное учреждение ""Детский сад ""Водник"" г. Краснослободска Среднеахтубинского района Волгоградской области ",детский сад,"Среднеахтубинский район, г. Краснослободск, ул. Шестакова, д. 5 а",х,дети,0,0,1,1,0,https://zhit-vmeste.ru/map/,48.70983589999999,44.573032
37,32,"Муниципальное общеобразовательное учреждение ""Средняя общеобразовательная школа"" х. Лебяжья Поляна Среднеахтубинского района Волгоградской области (дошкольные группы)",детский сад,"Среднеахтубинский район, х. Лебяжья Поляна, ул. Широкая, д. 7",х,дети,2,2,2,2,2,https://zhit-vmeste.ru/map/,48.76820590000001,44.703957
38,33,"Муниципальное автономное дошкольное образовательное учреждение ""Детский сад  ""Непоседа"" г. Суровикино Волгоградской области",детский сад,"Суровикинский район, г. Суровикино мкр. 1-й, д. 58",х,дети,1,1,1,1,1,https://zhit-vmeste.ru/map/,48.6102216,42.8528334
39,34,"Муниципальное автономное дошкольное образовательное учреждение ""Детский сад № 2 ""Сказка"" городского округа город Урюпинск Волгоградской области",детский сад,"Урюпинский район, г. Урюпинск, пр.Строителей, д. 6 ",х,дети,0,0,0,0,0,https://zhit-vmeste.ru/map/,50.7882176,42.05207559999999
40,35,"Муниципальное автономное дошкольное образовательное учреждение ""Детский сад 
№ 8 ""Чебурашка"" городского округа город Урюпинск Волгоградской области
",детский сад,"Урюпинский район, г. Урюпинск, ул.Октябрьская, д. 158",х,дети,1,1,2,2,2,https://zhit-vmeste.ru/map/,50.8133736,42.0019395
41,36,"Муниципальное дошкольное образовательное учреждение ""Шуруповский детский сад ""Дюймовочка"" Фроловского муниципального района Волгоградской области",детский сад,"Фроловский район, х. Шуруповский, ул. Седова, д. 11 а",х,дети,1,1,1,1,0,https://zhit-vmeste.ru/map/,49.7317887,43.7048843
42,37,"Муниципальное казенное общебразовательное учреждение ""Чернышковский детский сад № 1 ""Солнышко"" Чернышковского муниципального района Волгоградской области",детский сад,"Чернышковский район, р.п. Чернышковский, ул. Цимлянская, д. 12",х,дети,0,0,0,0,0,https://zhit-vmeste.ru/map/,48.42726560000001,42.2178657
43,38,"Муниципальное дошкольное образовательное учреждение ""Детский сад № 19 Ворошиловского района Волгограда""",детский сад,"г. Волгоград, ул. Козловская, д. 18 а",х,дети,2,1,2,2,1,https://zhit-vmeste.ru/map/,48.696951,44.493026
